"time","wallTime","wc2.P.x [m]","wc2.P.v [m/s]","wc2.P.F [N]","wc1.P.x [m]","wc1.P.v [m/s]","wc1.P.F [N]"
0.0104,4.669,0,0,0,0,0,0
0.0105,4.66901,0,0,0,0,0,0
0.0106,4.66906,0,0,0,0,0,0
0.0107,4.66907,0,0,0,0,0,0
0.0108,4.66908,0,0,0,0,0,0
0.0109,4.66909,0,0,0,0,0,0
0.011,4.6691,0,0,0,0,0,0
0.0111,4.66915,0,0,0,0,0,0
0.0112,4.66917,0,0,0,0,0,0
0.0113,4.66918,0,0,0,0,0,0
0.0114,4.66919,0,0,0,0,0,0
0.0115,4.6692,0,0,0,0,0,0
0.0116,4.66925,0,0,0,0,0,0
0.0117,4.66926,0,0,0,0,0,0
0.0118,4.66927,0,0,0,0,0,0
0.0119,4.66928,0,0,0,0,0,0
0.012,4.66929,0,0,0,0,0,0
0.0121,4.66933,0,0,0,0,0,0
0.0122,4.66935,0,0,0,0,0,0
0.0123,4.66936,0,0,0,0,0,0
0.0124,4.66938,0,0,0,0,0,0
0.0125,4.6694,0,0,0,0,0,0
0.0126,4.66945,0,0,0,0,0,0
0.0127,4.66946,0,0,0,0,0,0
0.0128,4.66947,0,0,0,0,0,0
0.0129,4.66949,0,0,0,0,0,0
0.013,4.66951,0,0,0,0,0,0
0.0131,4.66956,0,0,0,0,0,0
0.0132,4.66957,0,0,0,0,0,0
0.0133,4.66959,0,0,0,0,0,0
0.0134,4.6696,0,0,0,0,0,0
0.0135,4.66961,0,0,0,0,0,0
0.0136,4.66965,0,0,0,0,0,0
0.0137,4.66966,0,0,0,0,0,0
0.0138,4.66968,0,0,0,0,0,0
0.0139,4.66969,0,0,0,0,0,0
0.014,4.6697,0,0,0,0,0,0
0.0141,4.66974,0,0,0,0,0,0
0.0142,4.66975,0,0,0,0,0,0
0.0143,4.66976,0,0,0,0,0,0
0.0144,4.66977,0,0,0,0,0,0
0.0145,4.66979,0,0,0,0,0,0
0.0146,4.66983,0,0,0,0,0,0
0.0147,4.66984,0,0,0,0,0,0
0.0148,4.66985,0,0,0,0,0,0
0.0149,4.66987,0,0,0,0,0,0
0.015,4.66988,0,0,0,0,0,0
