"time","wallTime","wc2.out","wc1.out"
0.0091,1.61464,0,0.0573503
0.0092,1.61464,0,0.0587491
0.0093,1.61464,0,0.0601478
0.0094,1.61464,0,0.0615466
0.0095,1.61464,0,0.0629454
0.0096,1.61465,0,0.0643442
0.0097,1.61465,0,0.065743
0.0098,1.61465,0,0.0671418
0.0099,1.61465,0,0.0685406
0.01,1.61465,0,0.0699394
0.0101,1.61466,0,0.0713309
0.0102,1.61466,0,0.0727224
0.0103,1.61466,0,0.0741139
0.0104,1.61466,0,0.0755054
0.0105,1.61467,0,0.076897
0.0106,1.61467,0,0.0782885
0.0107,1.61467,0,0.07968
0.0108,1.61467,0,0.0810715
0.0109,1.61467,0,0.0824631
0.011,1.61467,0,0.0838546
0.0111,1.61468,0,0.0852461
0.0112,1.61468,0,0.0866376
0.0113,1.61468,0,0.0880292
0.0114,1.61468,0,0.0894207
0.0115,1.61468,0,0.0908122
0.0116,1.61468,0,0.0922037
0.0117,1.61469,0,0.0935952
0.0118,1.61469,0,0.0949868
0.0119,1.61469,0,0.0963783
0.012,1.61469,0,0.0977698
0.0121,1.61469,0,0.0991613
0.0122,1.6147,0,0.100553
0.0123,1.6147,0,0.101944
0.0124,1.6147,0,0.103336
0.0125,1.6147,0,0.104727
0.0126,1.6147,0,0.106119
0.0127,1.6147,0,0.10751
0.0128,1.61471,0,0.108902
0.0129,1.61471,0,0.110294
0.013,1.61471,0,0.111685
0.0131,1.61471,0,0.113077
0.0132,1.61471,0,0.114468
0.0133,1.61472,0,0.11586
0.0134,1.61472,0,0.117251
0.0135,1.61472,0,0.118643
0.0136,1.61472,0,0.120034
0.0137,1.61472,0,0.121426
0.0138,1.61472,0,0.122817
0.0139,1.61472,0,0.124209
0.014,1.61473,0,0.1256
0.0141,1.61473,0,0.126992
0.0142,1.61473,0,0.128383
0.0143,1.61473,0,0.129775
0.0144,1.61473,0,0.131166
0.0145,1.61473,0,0.132558
0.0146,1.61474,0,0.133949
0.0147,1.61474,0,0.135341
0.0148,1.61474,0,0.136732
0.0149,1.61474,0,0.138124
0.015,1.61474,0,0.139515
0.0151,1.61475,0,0.140893
0.0152,1.61475,0,0.14227
0.0153,1.61475,0,0.143647
0.0154,1.61475,0,0.145024
0.0155,1.61475,0,0.146401
0.0156,1.61475,0,0.147778
0.0157,1.61475,0,0.149155
0.0158,1.61476,0,0.150532
0.0159,1.61476,0,0.151909
0.016,1.61476,0,0.153286
0.0161,1.61476,0,0.154663
0.0162,1.61476,0,0.15604
0.0163,1.61476,0,0.157417
0.0164,1.61476,0,0.158794
0.0165,1.61476,0,0.160171
0.0166,1.61476,0,0.161548
0.0167,1.61477,0,0.162925
0.0168,1.61477,0,0.164302
0.0169,1.61477,0,0.16568
0.017,1.61477,0,0.167057
0.0171,1.61477,0,0.168434
0.0172,1.61477,0,0.169811
0.0173,1.61477,0,0.171188
0.0174,1.61477,0,0.172565
0.0175,1.61477,0,0.173942
0.0176,1.61477,0,0.175319
0.0177,1.61478,0,0.176696
0.0178,1.61478,0,0.178073
0.0179,1.61478,0,0.17945
0.018,1.61478,0,0.180827
0.0181,1.61478,0,0.182204
0.0182,1.61478,0,0.183581
0.0183,1.61478,0,0.184958
0.0184,1.61478,0,0.186335
0.0185,1.61478,0,0.187712
0.0186,1.61478,0,0.189089
0.0187,1.61479,0,0.190467
0.0188,1.61479,0,0.191844
0.0189,1.61479,0,0.193221
0.019,1.61479,0,0.194598
0.0191,1.61479,0,0.195975
0.0192,1.61479,0,0.197352
0.0193,1.61479,0,0.198729
0.0194,1.61479,0,0.200106
0.0195,1.61479,0,0.201483
0.0196,1.6148,0,0.20286
0.0197,1.6148,0,0.204237
0.0198,1.6148,0,0.205614
0.0199,1.6148,0,0.206991
0.02,1.6148,0,0.208368
0.0201,1.6148,0,0.209724
0.0202,1.6148,0,0.211079
0.0203,1.61481,0,0.212435
0.0204,1.61481,0,0.21379
0.0205,1.61481,0,0.215146
0.0206,1.61481,0,0.216501
0.0207,1.61481,0,0.217857
0.0208,1.61481,0,0.219212
0.0209,1.61481,0,0.220568
0.021,1.61481,0,0.221923
0.0211,1.61481,0,0.223279
0.0212,1.61481,0,0.224634
0.0213,1.61482,0,0.22599
0.0214,1.61482,0,0.227345
0.0215,1.61482,0,0.228701
0.0216,1.61482,0,0.230056
0.0217,1.61482,0,0.231412
0.0218,1.61482,0,0.232767
0.0219,1.61482,0,0.234123
0.022,1.61482,0,0.235478
0.0221,1.61482,0,0.236834
0.0222,1.61482,0,0.238189
0.0223,1.61483,0,0.239545
0.0224,1.61483,0,0.2409
0.0225,1.61483,0,0.242256
0.0226,1.61483,0,0.243611
0.0227,1.61483,0,0.244967
0.0228,1.61483,0,0.246323
0.0229,1.61483,0,0.247678
0.023,1.61483,0,0.249034
0.0231,1.61483,0,0.250389
0.0232,1.61484,0,0.251745
0.0233,1.61484,0,0.2531
0.0234,1.61484,0,0.254456
0.0235,1.61484,0,0.255811
0.0236,1.61484,0,0.257167
0.0237,1.61484,0,0.258522
0.0238,1.61484,0,0.259878
0.0239,1.61484,0,0.261233
0.024,1.61484,0,0.262589
0.0241,1.61484,0,0.263944
0.0242,1.61485,0,0.2653
0.0243,1.61485,0,0.266655
0.0244,1.61485,0,0.268011
0.0245,1.61485,0,0.269366
0.0246,1.61485,0,0.270722
0.0247,1.61485,0,0.272077
0.0248,1.61485,0,0.273433
0.0249,1.61485,0,0.274788
0.025,1.61485,0,0.276144
0.0251,1.61486,0.00279757,0.277471
0.0252,1.61486,0.00559515,0.278798
0.0253,1.61486,0.00839272,0.280125
0.0254,1.61486,0.0111903,0.281452
0.0255,1.61486,0.0139879,0.282779
0.0256,1.61486,0.0167854,0.284106
0.0257,1.61487,0.019583,0.285433
0.0258,1.61487,0.0223806,0.28676
0.0259,1.61487,0.0251782,0.288087
0.026,1.61487,0.0279757,0.289414
0.0261,1.61487,0.0307733,0.290741
0.0262,1.61487,0.0335709,0.292068
0.0263,1.61487,0.0363685,0.293396
0.0264,1.61487,0.039166,0.294723
0.0265,1.61487,0.0419636,0.29605
0.0266,1.61487,0.0447612,0.297377
0.0267,1.61488,0.0475588,0.298704
0.0268,1.61488,0.0503563,0.300031
0.0269,1.61488,0.0531539,0.301358
0.027,1.61488,0.0559515,0.302685
0.0271,1.61488,0.0587491,0.304012
0.0272,1.61488,0.0615466,0.305339
0.0273,1.61488,0.0643442,0.306666
0.0274,1.61488,0.0671418,0.307993
0.0275,1.61488,0.0699394,0.30932
0.0276,1.61489,0.0727369,0.310647
0.0277,1.61489,0.0755345,0.311974
0.0278,1.61489,0.0783321,0.313302
0.0279,1.61489,0.0811297,0.314629
0.028,1.61489,0.0839272,0.315956
0.0281,1.61489,0.0867248,0.317283
0.0282,1.61489,0.0895224,0.31861
0.0283,1.61489,0.09232,0.319937
0.0284,1.61489,0.0951175,0.321264
0.0285,1.61489,0.0979151,0.322591
0.0286,1.6149,0.100713,0.323918
0.0287,1.6149,0.10351,0.325245
0.0288,1.6149,0.106308,0.326572
0.0289,1.6149,0.109105,0.327899
0.029,1.6149,0.111903,0.329226
0.0291,1.6149,0.114701,0.330553
0.0292,1.6149,0.117498,0.33188
0.0293,1.6149,0.120296,0.333208
0.0294,1.6149,0.123093,0.334535
0.0295,1.61491,0.125891,0.335862
0.0296,1.61491,0.128688,0.337189
0.0297,1.61491,0.131486,0.338516
0.0298,1.61491,0.134284,0.339843
0.0299,1.61491,0.137081,0.34117
0.03,1.61492,0.139879,0.342497
0.0301,1.61492,0.142662,0.343789
0.0302,1.61492,0.145445,0.345081
0.0303,1.61492,0.148228,0.346373
0.0304,1.61492,0.151011,0.347665
0.0305,1.61492,0.153794,0.348957
0.0306,1.61492,0.156577,0.350249
0.0307,1.61492,0.15936,0.351541
0.0308,1.61492,0.162143,0.352833
0.0309,1.61492,0.164926,0.354125
0.031,1.61492,0.167709,0.355417
0.0311,1.61492,0.170492,0.356709
0.0312,1.61492,0.173275,0.358001
0.0313,1.61493,0.176058,0.359293
0.0314,1.61493,0.178841,0.360585
0.0315,1.61493,0.181624,0.361877
0.0316,1.61493,0.184407,0.363168
0.0317,1.61493,0.18719,0.36446
0.0318,1.61493,0.189974,0.365752
0.0319,1.61493,0.192757,0.367044
0.032,1.61493,0.19554,0.368336
0.0321,1.61493,0.198323,0.369628
0.0322,1.61493,0.201106,0.37092
0.0323,1.61493,0.203889,0.372212
0.0324,1.61493,0.206672,0.373504
0.0325,1.61493,0.209455,0.374796
0.0326,1.61493,0.212238,0.376088
0.0327,1.61494,0.215021,0.37738
0.0328,1.61494,0.217804,0.378672
0.0329,1.61494,0.220587,0.379964
0.033,1.61494,0.22337,0.381256
0.0331,1.61494,0.226153,0.382548
0.0332,1.61494,0.228936,0.38384
0.0333,1.61494,0.231719,0.385132
0.0334,1.61494,0.234502,0.386424
0.0335,1.61494,0.237285,0.387716
0.0336,1.61494,0.240068,0.389008
0.0337,1.61494,0.242851,0.3903
0.0338,1.61494,0.245634,0.391592
0.0339,1.61494,0.248417,0.392884
0.034,1.61494,0.251201,0.394176
0.0341,1.61495,0.253984,0.395468
0.0342,1.61495,0.256767,0.39676
0.0343,1.61495,0.25955,0.398052
0.0344,1.61495,0.262333,0.399344
0.0345,1.61495,0.265116,0.400636
0.0346,1.61495,0.267899,0.401927
0.0347,1.61495,0.270682,0.403219
0.0348,1.61495,0.273465,0.404511
0.0349,1.61495,0.276248,0.405803
0.035,1.61495,0.279031,0.407095
0.0351,1.61496,0.281785,0.408346
0.0352,1.61496,0.284539,0.409596
0.0353,1.61496,0.287293,0.410847
0.0354,1.61496,0.290047,0.412097
0.0355,1.61496,0.292802,0.413348
0.0356,1.61496,0.295556,0.414598
0.0357,1.61496,0.29831,0.415849
0.0358,1.61496,0.301064,0.417099
0.0359,1.61496,0.303818,0.41835
