"time","wallTime","wc2.P.x [m]","wc2.P.v [m/s]","wc2.P.F [N]","wc1.P.x [m]","wc1.P.v [m/s]","wc1.P.F [N]"
0.0104,1.62675,0,0,0,0,0,0
0.0105,1.62676,0,0,0,0,0,0
0.0106,1.62677,0,0,0,0,0,0
0.0107,1.62678,0,0,0,0,0,0
0.0108,1.6268,0,0,0,0,0,0
0.0109,1.62681,0,0,0,0,0,0
0.011,1.62682,0,0,0,0,0,0
0.0111,1.62683,0,0,0,0,0,0
0.0112,1.62686,0,0,0,0,0,0
0.0113,1.62687,0,0,0,0,0,0
0.0114,1.62688,0,0,0,0,0,0
0.0115,1.62689,0,0,0,0,0,0
0.0116,1.62693,0,0,0,0,0,0
0.0117,1.62695,0,0,0,0,0,0
0.0118,1.62696,0,0,0,0,0,0
0.0119,1.62697,0,0,0,0,0,0
0.012,1.62698,0,0,0,0,0,0
0.0121,1.627,0,0,0,0,0,0
0.0122,1.62701,0,0,0,0,0,0
0.0123,1.62702,0,0,0,0,0,0
0.0124,1.62703,0,0,0,0,0,0
0.0125,1.62704,0,0,0,0,0,0
0.0126,1.62706,0,0,0,0,0,0
0.0127,1.62707,0,0,0,0,0,0
0.0128,1.62708,0,0,0,0,0,0
0.0129,1.62709,0,0,0,0,0,0
0.013,1.6271,0,0,0,0,0,0
0.0131,1.62714,0,0,0,0,0,0
0.0132,1.62715,0,0,0,0,0,0
0.0133,1.62716,0,0,0,0,0,0
0.0134,1.62717,0,0,0,0,0,0
0.0135,1.62719,0,0,0,0,0,0
0.0136,1.62721,0,0,0,0,0,0
0.0137,1.62722,0,0,0,0,0,0
0.0138,1.62723,0,0,0,0,0,0
0.0139,1.62724,0,0,0,0,0,0
0.014,1.62725,0,0,0,0,0,0
0.0141,1.62727,0,0,0,0,0,0
0.0142,1.62728,0,0,0,0,0,0
0.0143,1.62729,0,0,0,0,0,0
0.0144,1.6273,0,0,0,0,0,0
0.0145,1.62732,0,0,0,0,0,0
0.0146,1.62734,0,0,0,0,0,0
0.0147,1.62735,0,0,0,0,0,0
0.0148,1.62736,0,0,0,0,0,0
0.0149,1.62737,0,0,0,0,0,0
0.015,1.62738,0,0,0,0,0,0
0.0151,1.62742,0,0,0,0,0,0
0.0152,1.62743,0,0,0,0,0,0
0.0153,1.62745,0,0,0,0,0,0
0.0154,1.62746,0,0,0,0,0,0
0.0155,1.62747,0,0,0,0,0,0
0.0156,1.62749,0,0,0,0,0,0
0.0157,1.6275,0,0,0,0,0,0
0.0158,1.62751,0,0,0,0,0,0
0.0159,1.62752,0,0,0,0,0,0
0.016,1.62753,0,0,0,0,0,0
0.0161,1.62755,0,0,0,0,0,0
0.0162,1.62756,0,0,0,0,0,0
0.0163,1.62757,0,0,0,0,0,0
0.0164,1.62758,0,0,0,0,0,0
0.0165,1.62759,0,0,0,0,0,0
0.0166,1.6276,0,0,0,0,0,0
0.0167,1.62762,0,0,0,0,0,0
0.0168,1.62763,0,0,0,0,0,0
0.0169,1.62764,0,0,0,0,0,0
0.017,1.62765,0,0,0,0,0,0
0.0171,1.62769,0,0,0,0,0,0
0.0172,1.62771,0,0,0,0,0,0
0.0173,1.62772,0,0,0,0,0,0
0.0174,1.62773,0,0,0,0,0,0
0.0175,1.62774,0,0,0,0,0,0
0.0176,1.62776,0,0,0,0,0,0
0.0177,1.62777,0,0,0,0,0,0
0.0178,1.62778,0,0,0,0,0,0
0.0179,1.62779,0,0,0,0,0,0
0.018,1.62781,0,0,0,0,0,0
0.0181,1.62782,0,0,0,0,0,0
0.0182,1.62783,0,0,0,0,0,0
0.0183,1.62784,0,0,0,0,0,0
0.0184,1.62786,0,0,0,0,0,0
0.0185,1.62787,0,0,0,0,0,0
0.0186,1.62789,0,0,0,0,0,0
0.0187,1.6279,0,0,0,0,0,0
0.0188,1.62791,0,0,0,0,0,0
0.0189,1.62791,0,0,0,0,0,0
0.019,1.62792,0,0,0,0,0,0
0.0191,1.62794,0,0,0,0,0,0
0.0192,1.62794,0,0,0,0,0,0
0.0193,1.62795,0,0,0,0,0,0
0.0194,1.62796,0,0,0,0,0,0
0.0195,1.62797,0,0,0,0,0,0
0.0196,1.62799,0,0,0,0,0,0
0.0197,1.628,0,0,0,0,0,0
0.0198,1.62801,0,0,0,0,0,0
0.0199,1.62802,0,0,0,0,0,0
0.02,1.62803,0,0,0,0,0,0
0.0201,1.62804,0,0,0,0,0,0
0.0202,1.62805,0,0,0,0,0,0
0.0203,1.62805,0,0,0,0,0,0
0.0204,1.62806,0,0,0,0,0,0
0.0205,1.62807,0,0,0,0,0,0
0.0206,1.62808,0,0,0,0,0,0
0.0207,1.62809,0,0,0,0,0,0
0.0208,1.6281,0,0,0,0,0,0
0.0209,1.62811,0,0,0,0,0,0
0.021,1.62812,0,0,0,0,0,0
0.0211,1.62813,0,0,0,0,0,0
0.0212,1.62814,0,0,0,0,0,0
0.0213,1.62815,0,0,0,0,0,0
0.0214,1.62816,0,0,0,0,0,0
0.0215,1.62816,0,0,0,0,0,0
0.0216,1.62818,0,0,0,0,0,0
0.0217,1.62819,0,0,0,0,0,0
0.0218,1.62819,0,0,0,0,0,0
0.0219,1.6282,0,0,0,0,0,0
0.022,1.62821,0,0,0,0,0,0
0.0221,1.62824,0,0,0,0,0,0
0.0222,1.62824,0,0,0,0,0,0
0.0223,1.62825,0,0,0,0,0,0
0.0224,1.62826,0,0,0,0,0,0
0.0225,1.62827,0,0,0,0,0,0
0.0226,1.62828,0,0,0,0,0,0
0.0227,1.62829,0,0,0,0,0,0
0.0228,1.6283,0,0,0,0,0,0
0.0229,1.62831,0,0,0,0,0,0
0.023,1.62831,0,0,0,0,0,0
0.0231,1.62833,0,0,0,0,0,0
0.0232,1.62833,0,0,0,0,0,0
0.0233,1.62834,0,0,0,0,0,0
0.0234,1.62835,0,0,0,0,0,0
0.0235,1.62836,0,0,0,0,0,0
0.0236,1.6284,0,0,0,0,0,0
0.0237,1.62841,0,0,0,0,0,0
0.0238,1.62841,0,0,0,0,0,0
0.0239,1.62842,0,0,0,0,0,0
0.024,1.62843,0,0,0,0,0,0
0.0241,1.62844,0,0,0,0,0,0
0.0242,1.62845,0,0,0,0,0,0
0.0243,1.62846,0,0,0,0,0,0
0.0244,1.62847,0,0,0,0,0,0
0.0245,1.62847,0,0,0,0,0,0
0.0246,1.62849,0,0,0,0,0,0
0.0247,1.6285,0,0,0,0,0,0
0.0248,1.62851,0,0,0,0,0,0
0.0249,1.62851,0,0,0,0,0,0
0.025,1.62852,0,0,0,0,0,0
0.0251,1.62855,0,0,0,0,0,0
0.0252,1.62856,0,0,0,0,0,0
0.0253,1.62857,0,0,0,0,0,0
0.0254,1.62858,0,0,0,0,0,0
0.0255,1.62859,0,0,0,0,0,0
0.0256,1.6286,0,0,0,0,0,0
0.0257,1.62861,0,0,0,0,0,0
0.0258,1.62861,0,0,0,0,0,0
0.0259,1.62862,0,0,0,0,0,0
0.026,1.62863,0,0,0,0,0,0
0.0261,1.62864,0,0,0,0,0,0
0.0262,1.62865,0,0,0,0,0,0
0.0263,1.62866,0,0,0,0,0,0
0.0264,1.62866,0,0,0,0,0,0
0.0265,1.62867,0,0,0,0,0,0
0.0266,1.62868,0,0,0,0,0,0
0.0267,1.62869,0,0,0,0,0,0
0.0268,1.6287,0,0,0,0,0,0
0.0269,1.62871,0,0,0,0,0,0
0.027,1.62871,0,0,0,0,0,0
0.0271,1.62873,0,0,0,0,0,0
0.0272,1.62874,0,0,0,0,0,0
0.0273,1.62875,0,0,0,0,0,0
0.0274,1.62876,0,0,0,0,0,0
0.0275,1.62877,0,0,0,0,0,0
0.0276,1.62878,0,0,0,0,0,0
0.0277,1.62879,0,0,0,0,0,0
0.0278,1.62879,0,0,0,0,0,0
0.0279,1.6288,0,0,0,0,0,0
0.028,1.62881,0,0,0,0,0,0
0.0281,1.62882,0,0,0,0,0,0
0.0282,1.62883,0,0,0,0,0,0
0.0283,1.62884,0,0,0,0,0,0
0.0284,1.62886,0,0,0,0,0,0
0.0285,1.62887,0,0,0,0,0,0
0.0286,1.6289,0,0,0,0,0,0
0.0287,1.62891,0,0,0,0,0,0
0.0288,1.62892,0,0,0,0,0,0
0.0289,1.62892,0,0,0,0,0,0
0.029,1.62893,0,0,0,0,0,0
0.0291,1.62895,0,0,0,0,0,0
0.0292,1.62895,0,0,0,0,0,0
0.0293,1.62897,0,0,0,0,0,0
0.0294,1.62898,0,0,0,0,0,0
0.0295,1.62899,0,0,0,0,0,0
0.0296,1.629,0,0,0,0,0,0
0.0297,1.62901,0,0,0,0,0,0
0.0298,1.62902,0,0,0,0,0,0
0.0299,1.62903,0,0,0,0,0,0
0.03,1.62905,0,0,0,0,0,0
0.0301,1.62907,0,0,0,0,0,0
0.0302,1.62908,0,0,0,0,0,0
0.0303,1.62909,0,0,0,0,0,0
0.0304,1.62911,0,0,0,0,0,0
0.0305,1.62911,0,0,0,0,0,0
0.0306,1.62913,0,0,0,0,0,0
0.0307,1.62914,0,0,0,0,0,0
0.0308,1.62915,0,0,0,0,0,0
0.0309,1.62916,0,0,0,0,0,0
0.031,1.62917,0,0,0,0,0,0
0.0311,1.62918,0,0,0,0,0,0
0.0312,1.62919,0,0,0,0,0,0
0.0313,1.6292,0,0,0,0,0,0
0.0314,1.62921,0,0,0,0,0,0
0.0315,1.62922,0,0,0,0,0,0
0.0316,1.62923,0,0,0,0,0,0
0.0317,1.62925,0,0,0,0,0,0
0.0318,1.62926,0,0,0,0,0,0
0.0319,1.62927,0,0,0,0,0,0
0.032,1.62928,0,0,0,0,0,0
0.0321,1.62929,0,0,0,0,0,0
0.0322,1.6293,0,0,0,0,0,0
0.0323,1.62931,0,0,0,0,0,0
0.0324,1.62932,0,0,0,0,0,0
0.0325,1.62933,0,0,0,0,0,0
0.0326,1.62934,0,0,0,0,0,0
0.0327,1.62936,0,0,0,0,0,0
0.0328,1.62937,0,0,0,0,0,0
0.0329,1.62938,0,0,0,0,0,0
0.033,1.62939,0,0,0,0,0,0
0.0331,1.62942,0,0,0,0,0,0
0.0332,1.62943,0,0,0,0,0,0
0.0333,1.62944,0,0,0,0,0,0
0.0334,1.62945,0,0,0,0,0,0
0.0335,1.62946,0,0,0,0,0,0
0.0336,1.62948,0,0,0,0,0,0
0.0337,1.62949,0,0,0,0,0,0
0.0338,1.62949,0,0,0,0,0,0
0.0339,1.6295,0,0,0,0,0,0
0.034,1.62951,0,0,0,0,0,0
0.0341,1.62952,0,0,0,0,0,0
0.0342,1.62953,0,0,0,0,0,0
0.0343,1.62955,0,0,0,0,0,0
0.0344,1.62955,0,0,0,0,0,0
0.0345,1.62956,0,0,0,0,0,0
0.0346,1.62958,0,0,0,0,0,0
0.0347,1.62959,0,0,0,0,0,0
0.0348,1.6296,0,0,0,0,0,0
0.0349,1.62961,0,0,0,0,0,0
0.035,1.62963,0,0,0,0,0,0
0.0351,1.62964,0,0,0,0,0,0
0.0352,1.62964,0,0,0,0,0,0
0.0353,1.62965,0,0,0,0,0,0
0.0354,1.62967,0,0,0,0,0,0
0.0355,1.62968,0,0,0,0,0,0
0.0356,1.62969,0,0,0,0,0,0
0.0357,1.6297,0,0,0,0,0,0
0.0358,1.62971,0,0,0,0,0,0
0.0359,1.62971,0,0,0,0,0,0
0.036,1.62973,0,0,0,0,0,0
0.0361,1.62974,0,0,0,0,0,0
0.0362,1.62975,0,0,0,0,0,0
0.0363,1.62976,0,0,0,0,0,0
0.0364,1.62978,0,0,0,0,0,0
0.0365,1.6298,0,0,0,0,0,0
0.0366,1.62981,0,0,0,0,0,0
0.0367,1.62982,0,0,0,0,0,0
0.0368,1.62983,0,0,0,0,0,0
0.0369,1.62984,0,0,0,0,0,0
0.037,1.62985,0,0,0,0,0,0
0.0371,1.62986,0,0,0,0,0,0
0.0372,1.62987,0,0,0,0,0,0
0.0373,1.62988,0,0,0,0,0,0
0.0374,1.62989,0,0,0,0,0,0
0.0375,1.62991,0,0,0,0,0,0
0.0376,1.62992,0,0,0,0,0,0
0.0377,1.62993,0,0,0,0,0,0
0.0378,1.62993,0,0,0,0,0,0
0.0379,1.62994,0,0,0,0,0,0
0.038,1.62996,0,0,0,0,0,0
0.0381,1.62997,0,0,0,0,0,0
0.0382,1.62999,0,0,0,0,0,0
0.0383,1.63,0,0,0,0,0,0
0.0384,1.63001,0,0,0,0,0,0
0.0385,1.63004,0,0,0,0,0,0
0.0386,1.63005,0,0,0,0,0,0
0.0387,1.63006,0,0,0,0,0,0
0.0388,1.63007,0,0,0,0,0,0
0.0389,1.63008,0,0,0,0,0,0
0.039,1.6301,0,0,0,0,0,0
0.0391,1.63011,0,0,0,0,0,0
0.0392,1.63011,0,0,0,0,0,0
0.0393,1.63013,0,0,0,0,0,0
0.0394,1.63014,0,0,0,0,0,0
0.0395,1.63015,0,0,0,0,0,0
0.0396,1.63016,0,0,0,0,0,0
0.0397,1.63017,0,0,0,0,0,0
0.0398,1.63018,0,0,0,0,0,0
0.0399,1.63019,0,0,0,0,0,0
0.04,1.63021,0,0,0,0,0,0
0.0401,1.63022,0,0,0,0,0,0
0.0402,1.63022,0,0,0,0,0,0
0.0403,1.63023,0,0,0,0,0,0
0.0404,1.63024,0,0,0,0,0,0
0.0405,1.63026,0,0,0,0,0,0
0.0406,1.63027,0,0,0,0,0,0
0.0407,1.63028,0,0,0,0,0,0
0.0408,1.63028,0,0,0,0,0,0
0.0409,1.63029,0,0,0,0,0,0
0.041,1.63031,0,0,0,0,0,0
0.0411,1.63032,0,0,0,0,0,0
0.0412,1.63033,0,0,0,0,0,0
0.0413,1.63034,0,0,0,0,0,0
0.0414,1.63035,0,0,0,0,0,0
0.0415,1.63036,0,0,0,0,0,0
0.0416,1.63038,0,0,0,0,0,0
0.0417,1.63039,0,0,0,0,0,0
0.0418,1.63039,0,0,0,0,0,0
0.0419,1.63041,0,0,0,0,0,0
0.042,1.63042,0,0,0,0,0,0
0.0421,1.63043,0,0,0,0,0,0
0.0422,1.63044,0,0,0,0,0,0
0.0423,1.63045,0,0,0,0,0,0
0.0424,1.63046,0,0,0,0,0,0
0.0425,1.63047,0,0,0,0,0,0
